,Дата операции,date,Номер карты,Статус,Сумма операции,Валюта операции,Сумма платежа,Валюта платежа,Кэшбэк,category,MCC,description,Бонусы (включая кэшбэк),Округление на инвесткопилку,Сумма операции с округлением,amount,last_digits,total_spent,cashback
54,22.12.2021 21:40:59,23.12.2021,*5091,OK,-250.0,RUB,-250.0,RUB,0.0,Каршеринг,7512.0,Ситидрайв,12,0,250.0,250.0,5091,250.0,14.0
55,22.12.2021 09:14:33,22.12.2021,*7197,OK,-60.0,RUB,-60.0,RUB,0.0,Супермаркеты,5411.0,Колхоз,1,0,60.0,60.0,7197,60.0,1.0
56,22.12.2021 09:12:01,22.12.2021,*7197,OK,-34.0,RUB,-34.0,RUB,0.0,Фастфуд,5814.0,Rumyanyj Khleb,0,0,34.0,34.0,7197,34.0,0.0
57,21.12.2021 22:57:26,22.12.2021,*7197,OK,15.0,RUB,15.0,RUB,0.0,Другое,5817.0,Google,0,0,15.0,15.0,7197,0.0,0.0
58,21.12.2021 21:01:16,21.12.2021,*7197,OK,-15.0,RUB,-15.0,RUB,0.0,Другое,5817.0,Google,0,0,15.0,15.0,7197,15.0,0.0
59,21.12.2021 18:02:18,21.12.2021,*7197,OK,-100.0,RUB,-100.0,RUB,0.0,Фастфуд,5814.0,IP Nelikaev,2,0,100.0,100.0,7197,100.0,3.0
60,21.12.2021 17:21:58,21.12.2021,*7197,OK,-7.94,RUB,-7.94,RUB,0.0,Каршеринг,7512.0,Ситидрайв,0,0,7.94,7.94,7197,7.94,0.0
61,20.12.2021 22:14:18,21.12.2021,*7197,OK,-120.0,RUB,-120.0,RUB,0.0,Фастфуд,5814.0,ЛюдиЛюбят,2,0,120.0,120.0,7197,120.0,3.0
62,20.12.2021 21:33:24,21.12.2021,*7197,OK,-1400.0,RUB,-1400.0,RUB,0.0,Дом и ремонт,7699.0,YM*o481,28,0,1400.0,1400.0,7197,1400.0,42.0
63,20.12.2021 19:42:13,20.12.2021,*7197,OK,421.0,RUB,421.0,RUB,0.0,Различные товары,5399.0,Ozon.ru,-8,0,421.0,421.0,7197,0.0,-8.0
